day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
59,5.556,4.444,5.331,4.950,5.000,4.656,4.025,3.618,4.956,4.427,4.444,3.383,,,,5.556,3.889,3.889,3.889,3.333,6.111,5.556,3.889,,,,,,,
60,5.556,4.444,5.277,5.008,4.809,4.748,3.968,3.714,4.892,4.402,4.469,3.367,,,,,3.889,4.444,3.889,3.333,6.111,5.556,3.889,,,,,,,
61,,,5.269,5.029,4.771,4.885,4.031,3.722,4.927,4.431,4.689,3.408,,,,,3.889,4.444,3.889,3.333,5.556,5.556,3.889,,,,,,,
62,4.444,4.444,5.265,5.037,4.746,5.006,4.091,3.910,4.986,4.410,5.013,3.454,,,,,3.889,4.408,4.444,3.333,5.556,5.556,3.889,,,,,,,
63,4.444,3.889,5.273,5.054,4.713,5.144,4.123,3.956,5.044,4.369,4.900,3.567,,,,,3.889,4.504,4.444,3.333,5.556,6.111,4.444,,,14.635,,,,
64,4.444,3.889,5.348,5.233,4.636,5.206,4.164,4.097,5.081,4.402,5.071,3.567,,,,,3.889,4.653,4.444,3.333,5.556,6.111,4.444,,,,,,,
65,4.444,3.889,5.481,5.286,4.677,5.221,4.362,4.085,5.061,4.377,5.058,3.601,,,,,3.889,4.788,4.444,3.333,5.556,6.111,4.444,,,,,,,
66,4.444,3.889,5.694,5.356,4.702,5.313,4.566,4.051,5.023,4.306,5.402,3.646,,,,,3.889,4.793,4.444,3.889,5.556,6.111,4.444,,,,,,,
67,4.444,3.889,5.936,5.436,4.640,5.615,4.595,4.022,5.023,4.373,5.569,3.617,,,,,4.444,4.868,4.444,3.889,5.556,6.667,4.444,,,,,,,
68,4.444,3.333,6.081,5.569,4.690,5.623,4.445,4.070,4.990,4.788,5.761,3.620,,,,,4.494,4.899,4.444,4.444,5.556,6.667,4.444,,,,,,,
69,5.000,3.333,6.215,5.723,4.794,5.731,4.616,4.091,5.077,4.650,6.052,3.716,,,,5.900,4.494,4.980,4.444,4.444,5.556,6.667,4.444,,,,,,,
70,5.556,3.889,6.286,5.901,4.831,5.969,4.735,4.175,5.160,5.217,6.227,3.908,,,,5.946,4.523,5.124,5.000,4.444,5.556,6.667,4.444,,,,,,,
71,5.556,4.444,6.302,6.096,4.806,5.944,4.858,4.212,5.433,5.171,6.150,4.177,,,,5.954,4.385,5.278,5.000,4.444,5.556,6.667,4.444,,,,,,,
